Season,DayZero,RegionW,RegionX,RegionY,RegionZ
1998,10/27/1997,1,18,19,20
1999,10/26/1998,1,19,18,20
2000,11/01/1999,1,18,19,20
2001,10/30/2000,1,18,19,20
2002,10/29/2001,1,20,19,18
2003,11/04/2002,1,20,19,18
2004,11/03/2003,1,19,18,20
2005,11/01/2004,2,21,37,48
2006,10/31/2005,3,22,9,49
2007,10/30/2006,4,7,26,5
2008,11/05/2007,5,23,38,29
2009,11/03/2008,6,24,29,50
2010,11/02/2009,7,25,37,51
2011,11/01/2010,4,23,7,48
2012,10/31/2011,8,26,39,50
2013,11/05/2012,9,27,29,23
2014,11/04/2013,10,28,40,52
2015,11/03/2014,11,23,5,29
2016,11/02/2015,9,4,41,53
2017,10/31/2016,9,29,41,54
2018,10/30/2017,11,23,37,41
2019,11/05/2018,11,30,5,55
2020,11/04/2019,12,31,42,56
2021,11/02/2020,13,32,43,57
2022,11/01/2021,9,23,5,58
2023,10/31/2022,14,33,44,59
2024,11/06/2023,15,34,45,60
2025,11/04/2024,16,35,46,61
2026,11/03/2025,17,36,47,62
